module,PROV,NP,CA,PA,SW,PS,PCT,PT,OT,PHAR,INT,DIET,SP,OPSLEAD,OPSSCHLEAD,OPSVIEW,FD,BL,REF,MAR,IT
LN,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
LP,N,N,N,N,N,N,N,N,N,N,N,N,N,CRUD,N,R,N,N,N,N,N
MS,N,N,N,N,N,N,N,N,N,N,N,N,N,N,CRUD,R,N,N,N,N,N
MPI,N,N,N,N,N,N,N,N,N,N,N,N,N,CRUD,N,R,N,N,N,N,N
MPE,N,N,N,N,N,N,N,N,N,N,N,N,N,CRUD,N,R,N,N,CRUD,N,N
APRI,N,N,N,N,N,N,N,N,N,N,N,N,N,CRUD,N,R,N,N,N,N,N
APRE,N,N,N,N,N,N,N,N,N,N,N,N,N,CRUD,N,R,N,N,CRUD,N,N
US,R,R,R,R,R,R,R,R,R,R,R,R,R,CRUD,R,R,R,R,R,R,R
API,N,N,N,N,N,N,N,N,N,N,N,N,N,CRUD,N,R,N,N,N,N,R
APE,N,N,N,N,N,N,N,N,N,N,N,N,N,CRUD,N,R,N,N,CRUD,N,R
EM,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU
CH,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU
CM,N,N,N,N,N,N,N,N,N,N,N,N,N,CRUD,N,R,N,N,N,CRUD,N
SMS,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,R,CRUD,CRUD,CRUD,CRUD,CRUD
TELE,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,R,CRU,CRU,CRUD,N,R,CRUD,N,N,N,N
VD,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,R,CRU,CRU,CRU,CRU,R,CRU,CRU,CRU,N,CRU
MR,R,R,R,R,R,R,R,R,R,R,R,R,R,CRU,N,R,N,N,N,N,N
TSK,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,R,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU
NF,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD,CRUD
ASP,R,R,R,R,R,R,R,R,R,R,R,R,R,CRUD,R,R,R,R,R,R,R
ASI,R,R,R,R,R,R,R,R,R,R,R,R,R,CRUD,N,R,R,R,R,N,N
ASL,R,R,R,R,R,R,R,R,R,R,R,R,R,CRUD,N,R,R,R,R,N,N
CP,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU,CRU
MAN,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU
AL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
UM,N,N,N,N,N,N,N,N,N,N,N,N,N,CRUD,N,R,N,N,N,N,CRUD
AMI,N,N,N,N,N,N,N,N,N,N,N,N,N,CRUD,N,R,N,N,N,N,CRUD
AME,N,N,N,N,N,N,N,N,N,N,N,N,N,CRUD,N,R,N,N,CRUD,N,CRUD
RM,N,N,N,N,N,N,N,N,N,N,N,N,N,CRUD,N,R,N,N,N,N,CRUD
