Code,Name,ADMIN,PMGR,LMGR,MTECH,ACCT,RCOORD,VIEWER
PROP,Properties,CRUD,CRUD,R,R,R,R,R
UNIT,Units,CRUD,CRUD,CRUD,R,R,CRU,R
RES,Residents,CRUD,CRUD,CRUD,R,CRU,CRUD,R
LEASE,Leases,CRUD,CRUD,CRUD,R,CRU,CRU,R
MAINT,Maintenance,CRUD,CRUD,R,CRUD,R,CRU,R
PYMT,Payments,CRUD,CRU,CRU,N,CRUD,CRU,R
BILL,Billing,CRUD,CRU,R,N,CRUD,R,R
STAFF,Staff,CRUD,CRUD,CRU,R,R,R,R
BOOK,Bookings,CRUD,CRUD,CRUD,R,R,CRUD,R
MEET,Meetings,CRUD,CRUD,CRUD,CRU,CRU,CRUD,R
NOTIF,Notifications,CRUD,CRUD,CRU,CRU,CRU,CRU,N
DOCS,Digital Forms,CRUD,CRUD,CRUD,R,R,CRU,R
ANALYT,Analytics,CRUD,CRU,CRU,R,CRU,R,R
DASH,Dashboard,CRUD,CRUD,CRUD,R,R,R,R
AUDIT,Audit Logs,CRUD,R,R,N,R,N,R
USERS,User Management,CRUD,CRU,R,N,N,N,N
ROLES,Roles Management,CRUD,R,N,N,N,N,N
SETT,System Settings,CRUD,CRU,R,N,N,N,N
ASSET,Assets,CRUD,CRUD,R,CRUD,R,R,R
LOOKUP,Lookup Data,CRUD,CRU,R,R,R,R,R
