country_code,name,state_code
US,ALASKA,AK
US,ALABAMA,AL
US,ARKANSAS,AR
US,AMERICAN SAMOA,AS
US,ARIZONA,AZ
US,CALIFORNIA,CA
US,COLORADO,CO
US,CONNECTICUT,CT
US,DISTRICT OF COLUMBIA,DC
US,DELAWARE,DE
US,FLORIDA,FL
US,FEDERATED STATES OF MICRONESIA,FM
US,GEORGIA,GA
US,GUAM,GU
US,HAWAII,HI
US,IOWA,IA
US,IDAHO,ID
US,ILLINOIS,IL
US,INDIANA,IN
US,KANSAS,KS
US,KENTUCKY,KY
US,LOUISIANA,LA
US,MASSACHUSETTS,MA
US,MARYLAND,MD
US,MAINE,ME
US,MARSHALL ISLANDS,MH
US,MICHIGAN,MI
US,MINNESOTA,MN
US,MISSOURI,MO
US,MARIANA ISLANDS,MP
US,MISSISSIPPI,MS
US,MONTANA,MT
US,NORTH CAROLINA,NC
US,NORTH DAKOTA,ND
US,NEBRASKA,NE
US,NEW HAMPSHIRE,NH
US,NEW JERSEY,NJ
US,NEW MEXICO,NM
US,NEVADA,NV
US,NEW YORK,NY
US,OHIO,OH
US,OKLAHOMA,OK
US,OREGON,OR
US,PENNSYLVANIA,PA
US,PUERTO RICO,PR
US,PALAU,PW
US,RHODE ISLAND,RI
US,SOUTH CAROLINA,SC
US,SOUTH DAKOTA,SD
US,TENNESSEE,TN
US,TEXAS,TX
US,UTAH,UT
US,VIRGINIA,VA
US,VIRGIN ISLANDS,VI
US,VERMONT,VT
US,WASHINGTON,WA
US,WISCONSIN,WI
US,WEST VIRGINIA,WV
US,WYOMING,WY
US,Foreign Country,ZZ
IN,Andhra Pradesh,AD
IN,Arunachal Pradesh,AR
IN,Assam,AS
IN,Bihar,BR
IN,Chattisgarh,CG
IN,Delhi,DL
IN,Goa,GA
IN,Gujarat,GJ
IN,Haryana,HR
IN,Himachal Pradesh,HP
IN,Jammu and Kashmir,JK
IN,Jharkhand,JH
IN,Karnataka,KA
IN,Kerala,KL
IN,Lakshadweep Islands,LD
IN,Madhya Pradesh,MP
IN,Maharashtra,MH
IN,Manipur,MN
IN,Meghalaya,ML
IN,Mizoram,MZ
IN,Nagaland,NL
IN,Odisha,OD
IN,Pondicherry,PY
IN,Punjab,PB
IN,Rajasthan,RJ
IN,Sikkim,SK
IN,Tamil Nadu,TN
IN,Telangana,TS
IN,Tripura,TR
IN,Uttar Pradesh,UP
IN,Uttarakhand,UK
IN,West Bengal,WB
IN,Andaman and Nicobar Islands,AN
IN,Chandigarh,CH
IN,Dadra & Nagar Haveli and Daman & Diu,DN
IN,Ladakh,LA
